# Constructed from biom file
#OTU ID	N1.1	N1.2	N1.3	N1.4	N1.5	N2.1	N2.2	N3.1	N3.2	N3.3	N4.1	N4.2	N4.3	N4.4	N5.1	N5.2	N5.3	N5.4	N6.1	N6.2	N6.3	N6.4	N7.1	N7.2	N8.1	N8.2	N8.3	N8.4	C1	C2	C3	C4	taxonomy
ASV_1	0.08471557386173884	0.03754736479503962	0.0969274246888341	0.059264266801870316	0.07470213704847758	0.07788075033497097	0.056970373376623376	0.08495015542930646	0.033043654001616816	0.06310226919490208	0.05246375067685458	0.03740146153403533	0.05272949247136794	0.02396976599710085	0.07237931669017972	0.028552111504056583	0.03916328313717428	0.08616086327733898	0.054499589346474246	0.006650259203016181	0.047252523192986035	0.028279575303175163	0.04543570614444099	0.0423611848391549	0.06170443961502639	0.03147548434748026	0.06381970763400108	0.055638469345113725	0.06318596143114033	0.019357935153583618	0.05820616442487484	0.051743940035060144	k__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculum; s__Muribaculum_gordoncarteri
ASV_2	0.019536903039073805	0.07136295785968538	0.054236065179484094	0.020055208157286914	0.037823866859988654	0.05917820455560518	0.026582792207792208	0.04025083074284489	0.016521827000808408	0.03165475080302559	0.03754286745683172	0.018758271477070026	0.03482355676995524	0.04136467177469456	0.059252898239587806	0.04815893488662367	0.05704887701084443	0.09456001779953276	0.06382729086002581	0.018903492695187724	0.06254460189621776	0.08941780304936346	0.07398197078023003	0.04756343560887568	0.07629618131015213	0.05539457985341742	0.061586356253383864	0.09921795713688734	0.036584609660817266	0.02586390784982935	0.049942698594607635	0.04291845493562232	k__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Duncaniella; s__Duncaniella_muris
ASV_3	0.017588778804408327	0.07228154782409002	0.04870422704587818	0.015154075826713988	0.03259156527769022	0.05822912014292095	0.0252637987012987	0.039339693429092076	0.015511317704122878	0.03082582115842918	0.03874616449070453	0.018930893607227113	0.030754025928725073	0.03784427417684821	0.05465251794148316	0.0436342833368005	0.05165236161792671	0.09389253532094782	0.06118737533732254	0.01927004241503901	0.05250280354776226	0.0783978261963468	0.07931820536731946	0.04692642531054252	0.06900031046258925	0.05982614624169081	0.05637520303194369	0.09121843472031521	0.03943696905810132	0.02351749146757679	0.04469509620604379	0.04037961675633198	k__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Duncaniella; s__Duncaniella_muris
ASV_4	0.03300679060447512	0.03760477666781491	0.02789970536949071	0.03363190806151766	0.030763411712790772	0.027858418937025457	0.015523538961038962	0.03446242898488584	0.015410266774454324	0.04289710910786447	0.044281330846519466	0.03590540307267392	0.043311435381663856	0.046489956512735554	0.025148745629638716	0.030840441023507387	0.039985609292285555	0.05523417510290355	0.027455121436114043	0.03471749489448604	0.05316546029156897	0.034267599255270974	0.052740648637446895	0.03753052341012846	0.03733312635827383	0.04039543207772286	0.050961017866811044	0.040057310011342606	0.03584051590500403	0.016744880546075085	0.03353640147174136	0.03282355074653932	k__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculum; s__Muribaculum_gordoncarteri
ASV_5	0.03167093398641879	0.031404294408083594	0.02639648848535867	0.02935045912906315	0.029376536594591187	0.02266636891469406	0.014306006493506494	0.033336906420838246	0.012732417138237672	0.042482644285566265	0.03994946152457734	0.031935094079060936	0.03842799837218766	0.040432801822323464	0.023001901490523217	0.032348658206781775	0.03741584005756283	0.05690288129936589	0.025812507333098676	0.028171964182855946	0.05066775410337445	0.03431791878428018	0.051704486581701375	0.03795519694235057	0.03391803787643589	0.03636157036532015	0.05326204656199242	0.038564861799295566	0.034104297141439824	0.012318686006825938	0.02816816454550938	0.026536903826391827	k__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculum; s__Muribaculum_gordoncarteri
ASV_6	0.022820883891795613	0.07274084280629234	0.0367987493235524	0.05194073573319813	0.04356048666708693	0.013119696292987941	0.01755275974025974	0.009432951012970307	0.008993532740501213	0.029996891513832762	0.0520425967149991	0.033891478220841244	0.022033602697517585	0.018740940153240838	0.030362509967490646	0.040877886415643855	0.010844426170529886	0.013071531872288352	0.04511322304352927	0.022254804419542338	0.06050565806912019	0.06727721028531172	0.037198217801264116	0.01857946703471706	0.02724309220738901	0.050167604113402646	0.02368706009745533	0.028416213957375678	0.021640726731568177	0.01711817406143345	0.02750467458833464	0.02436075681557154	k__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_acidifaciens
ASV_7	0.03751530669041523	0.027959582041566195	0.024231856172208525	0.01487240155484198	0.03271764483389018	0.026127735596248324	0.02739448051948052	0.016775645835566514	0.02723322554567502	0.010931509688115222	0.027735996630768305	0.011680764140629496	0.07237951281902215	0.04027749016359495	0.033061399742378705	0.04425837320574163	0.051241198540371076	0.0038936477917454666	0.04317728499354687	0.06802115515525999	0.024161484351106127	0.004327479494791929	0.014506268780437261	0.021446013377216265	0.01164234709717479	0.03636157036532015	0.02950730914997293	0.016058742761626173	0.027035406461214113	0.04746160409556314	0.020025333252910307	0.019827117209695943	k__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes; s__Alistipes_dispar
ASV_8	0.04152287654458421	0.026122402112756918	0.05207143286633396	0.03188552757591122	0.040093298871587975	0.03634435015631979	0.02724228896103896	0.04132275699431879	0.017582861762328213	0.03367526681172935	0.03405330605860057	0.02025432993843144	0.028196035114237544	0.013046179333195278	0.03717107280868552	0.013938007073018515	0.01886210618286478	0.04666814996106352	0.02587117212249208	0.0028276692674242027	0.024977061881945154	0.014139787651587582	0.029427002383172727	0.022189192058604947	0.03166718410431543	0.016646781432873133	0.034177043854899836	0.028714703599785087	0.031685992435046814	0.013011945392491467	0.027866578201339042	0.026778697938705194	k__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculum; s__Muribaculum_gordoncarteri
ASV_9	0.036958699766225095	0.023711103456194742	0.045397149900787685	0.026759055827840685	0.03586963373888924	0.03673514962036623	0.026075487012987012	0.03955407867938686	0.013843977364591755	0.033001761475494766	0.02833764514770471	0.020139248518326717	0.024475321202255682	0.012683785462828744	0.03367478378212599	0.012897857291449969	0.016703500025697694	0.04255200800978974	0.025401853807344832	0.0031942189872754883	0.0224283820980732	0.013334675187440246	0.028546264635789038	0.02611742223165941	0.0332194970506054	0.017158116016135448	0.03580129940443963	0.02632678646050982	0.030941898679233585	0.011785409556313993	0.026057060136317027	0.02375627153478813	k__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculum; s__Muribaculum_gordoncarteri
ASV_10	0.001447178002894356	0.0055689516592031234	0.0003006433768264085	0.0820235479691285	0.003908466242198827	0.03433452434122376	0.08710430194805195	0.00380533819273234	0.2297898140662894	0.0009843539529582426	0.005114012393959449	0.05650497727141953	0.030579617464100924	0.0033133153862083247	0.007483285284916886	0.03723736218015394	0.0009251169245001799	0.0003337412392924686	0.004927842309046111	0.0006807351940095302	0.010959323070649403	0.0002012781160368339	0.006579629053984043	0.08482853806136532	0.013660353927351754	0.003977046758706891	0.010219274499187872	0.0004775834278550534	0.0025423203323618774	0.013545221843003413	0.005006333313227577	0.0063470954482258354	k__Bacteria; p__Deferribacteres; c__Deferribacteres; o__Deferribacterales; f__Mucispirillaceae; g__Mucispirillum; s__Mucispirillum_schaedleri
